exchange_point_id; region; country; city; long_name; status; media_type; organization_type; establishment; url; member_list_url; looking_glass_url; participants; traffic; prefixes
92; Europe; Germany; Nuremberg; NÌ_rnberger Internet Exchange; Active; Ethernet; Association;20030000; http://www.n-ix.de; http://www.n-ix.net/teilnehmerliste.html?&L=2; http://www.n-ix.net/lg.html;19;4800000;8942
705; Europe; Germany; Stuttgart; Stuttgarter Internet Exchange; Active; Ethernet; Association;20050400; http://www.s-ix.info/; http://www.s-ix.info/Teilnehmer.htm; http://six.interscholz.net/;16;1484460;0
93; Africa; Ghana; Accra; Ghana Internet Exchange; Active; Ethernet; Association;20051018; http://www.gixa.org.gh; http://www.gixa.org.gh/?page_id=12; ;24;743100;0
94; Europe; Greece; Athens; Greek Internet Exchange; Active; Ethernet; Association;20000000; http://www.gr-ix.gr/; http://www.gr-ix.gr/members/; ;15;32000000;0
99; Europe; Hungary; Budapest; Budapest Internet Exchange; Active; Ethernet; Association;19960000; http://www.bix.hu/; http://www.bix.hu/index.php3?lang=en&page=members; http://www.bix.hu/lg/lg.cgi;50;131900000;0
100; Europe; Iceland; Reykjavik; Reykjavik Internet Exchange; Active; ; Association;19990000; http://www.rix.is; http://www.rix.is/connected.html; ;21;7436369;0
1902; Europe; Iran; Tehran; Tehran IXP; Active; MPLS; Governmental;20141000; ; ; ;6;0;0
1105; Europe; Ireland; Cork; Cork Neutral Internet Exchange; Active; Ethernet; Association;20090717; http://www.cnix.ie; http://www.cnix.ie/members.html; ;14;0;0
116; Europe; Ireland; Dublin; Internet Neutral Exchange Association Limited; Active; Ethernet; Association;19960000; http://www.inex.ie; https://www.inex.ie/about/memberlist; ;100;88000000;144183
1108; Europe; Ireland; Galway; eXchange West; Active; Ethernet; Association;20090604; http://www.exwest.net; http://www.exwest.net; ;3;0;0
117; Europe; Israel; Tel Aviv; Israeli Internet Exchange; Active; Layer-3; Association;19960000; http://www.isoc.org.il/iix/index.html; http://www.isoc.org.il/iix/2x_list.html; http://www.isoc.org.il/iix/2x_looking_glass.html;19;10300000;0
506; Europe; Italy; Florence; Tuscany Internet Exchange; Active; Ethernet; Association;20030000; https://www.tix.it/en/web/guest/home; http://www.e.toscana.it/e-toscana/it/elenco_isp.wp; ;31;447520;0
118; Europe; Italy; Milan; Milan Internet Exchange; Active; Ethernet; Association;20001100; http://www.mix-it.net/; http://www.mix-it.net/index.php?option=com_content&view=article&id=85&Itemid=84&lang=en; ;109;284634000;0
1233; Europe; Italy; Milan; Milan Neutral Access Point; Active; Ethernet; University;20080000; http://www.minap.it/; http://www.minap.it/members/; ;19;0;0
1128; Europe; Italy; Padova; VSIX NAP del Nord Est; Active; Ethernet; University;20090901; http://www.vsix.it; http://www.vsix.it/VSIX/VSIX_completo/Aderenti.html; ;23;3050000;0
120; Europe; Italy; Rome; NaMeX - Nautilus Mediterranean Exchange Point; Active; Ethernet; Association;19960000; http://www.namex.it; http://www.namex.it/en/who/members; ;53;29197000;0
